Epoch,Train Loss,Validation Loss
1,4.202742690625398,4.209110736846924
2,3.9531990134197734,3.9315738677978516
3,3.7303724599921186,3.732959032058716
4,3.503969368727311,3.5715867280960083
5,3.2838710080022397,3.376621127128601
6,3.1026878564254097,3.181139667828878
7,2.8729618010313613,2.981589118639628
8,2.6389190217723018,2.8167632023493447
9,2.4481216513592265,2.5952840646107993
10,2.264462455459263,2.4724355936050415
11,2.061575842940289,2.3267434438069663
12,1.890179131342017,2.2392459313074746
13,1.7132936145948328,2.1097420851389566
14,1.562236469724904,1.9701634446779888
15,1.464685258658036,1.8553912043571472
16,1.359257698059082,1.7927297751108806
17,1.1798879607864048,1.6857535640398662
18,1.1168608354485554,1.6495205561319988
19,1.0520609772723655,1.5781727035840352
20,0.9499491867811783,1.4502927263577778
