Epoch,Train Loss,Validation Loss
1,3.9451111088628354,3.983139713605245
2,3.6883205227229907,3.806123892466227
3,3.471433100493058,3.5890005826950073
4,3.2437541484832764,3.3979249000549316
5,3.013716811719148,3.1826512813568115
6,2.7964134319968847,2.9315433899561563
7,2.563961516255918,2.7432295083999634
8,2.353199108787205,2.551566481590271
9,2.131992537042369,2.352898041407267
10,1.9486341424610303,2.2211820681889853
11,1.781633216401805,2.0502862532933555
12,1.615395478580309,1.8809987505276997
13,1.4642366378203682,1.7810436089833577
14,1.3197586640067722,1.6343336900075276
15,1.1953153817549995,1.4935443600018818
16,1.0901502863220547,1.4146154522895813
17,0.9880246856938237,1.331427276134491
18,0.9007928915645765,1.239845633506775
19,0.8217102988906528,1.1388792991638184
20,0.7499110931935518,1.105883538722992
