Epoch,Train Loss,Validation Loss
1,3.0647434767554786,2.770813332663642
2,2.3086773297365974,2.3865332735909357
3,1.864714436671313,2.0808247460259333
4,1.5776482119279749,1.980101227760315
5,1.370452831773197,1.8573897282282512
6,1.2014565537957584,1.75452012485928
7,1.0829463338150698,1.645076076189677
8,1.0069015324115753,1.6609392563501995
9,0.9259828434270971,1.5761254760954115
10,0.8800327672677881,1.5292623440424602
11,0.8447080798008862,1.5894215371873643
12,0.7429869911249947,1.5221904913584392
13,0.7326847551500096,1.5239505767822266
14,0.7073216043850955,1.487181888686286
15,0.6519382201573428,1.4507522914144728
16,0.6044294395867515,1.5258876946237352
17,0.5580453469472773,1.4589079684681363
18,0.589391316561138,1.4065462003151576
19,0.6165654089520959,1.4809080163637798
20,0.5565215016112608,1.4643454551696777
