Epoch,Train Loss,Validation Loss
1,3.696152957046733,2.506187995274862
2,2.420298520256491,2.0189209249284534
3,2.222986463238211,2.4126888381110296
4,2.137390567975886,1.7647748523288302
5,1.9755678474903107,2.35857578780916
6,2.3656618647715626,2.174488855732812
7,2.8518711669260965,4.131166881985134
8,3.2276755325934467,4.820331705941094
9,2.8749985940316143,1.9142921103371515
10,2.724970949046752,3.9255511893166437
11,3.623171507873956,6.307113329569499
12,3.28710596000447,3.7323094738854303
13,3.412171494720336,3.6073756681548224
14,3.433763893211589,3.9893109136157565
15,3.9028313563150516,6.021542376942104
16,4.410027503636229,7.467697633637322
17,3.7252045795595383,7.999467823240492
18,4.507782534312676,6.255217128329807
19,3.369376312352388,5.597826586829291
20,3.0618271387188276,7.11444796456231
