Epoch,Train Loss,Validation Loss
1,2.8998980662401985,2.566030184427897
2,1.9901460023487316,2.133592141999139
3,1.5053925899898304,1.886519922150506
4,1.2594723228146048,1.7819522884156969
5,1.109187482034459,1.7040641440285578
6,1.0334635534707237,1.5290076269043817
7,0.955596643335679,1.5316579739252727
8,0.8715050799005172,1.467170450422499
9,0.7696414502228007,1.4958135022057428
10,0.7224873637451845,1.4987332688437567
11,0.7220760873135399,1.4489539199405246
12,0.6611005532390931,1.389670968055725
13,0.671306031591752,1.3214249478446112
14,0.6313062871203703,1.3550848695966933
15,0.5538261182167951,1.395380073123508
16,0.5753230277229758,1.3589699268341064
17,0.544360059149125,1.3599958486027188
18,0.5536759057465721,1.4147148264778986
19,0.5364238628569771,1.3717732164594862
20,0.480896272641771,1.3628508514828153
