Epoch,Train Loss,Validation Loss
1,3.553071891560274,3.5668287807040744
2,3.2449933220358456,3.443201462427775
3,3.0156861473532284,3.2121655146280923
4,2.8248295924242806,3.0283934275309243
5,2.6111397743225098,2.8738987975650363
6,2.4022166167988495,2.6878363688786826
7,2.18100243806839,2.49501993921068
8,2.0071807468638703,2.34906358189053
9,1.8386752289884232,2.2278420527776084
10,1.7133357910548939,2.069506115383572
11,1.5677897754837484,1.9901242785983615
12,1.431317620417651,1.814671927028232
13,1.3025502702769112,1.8169652223587036
14,1.22747599903275,1.7069694333606296
15,1.1820101510075962,1.6372576819525824
16,1.1060754779507131,1.5261172188652887
17,1.0601810129249798,1.526499072710673
18,0.9435052030226764,1.4346663686964247
19,0.9418158496127409,1.4120899041493733
20,0.8594310406376334,1.3795041640599568
