Epoch,Train Loss,Validation Loss
1,3.2765330847571876,3.071502606074015
2,2.7696034207063565,2.8106146388583713
3,2.461040931589463,2.509160280227661
4,2.1925163444350746,2.3086643483903675
5,1.9536310539526098,2.109704467985365
6,1.7399602041525,1.9148921304278903
7,1.5488682178890003,1.7622988488939073
8,1.387937086469987,1.6002510918511286
9,1.2451492249965668,1.4667312701543171
10,1.1187724909361672,1.376484407318963
11,1.0142870229833267,1.2531399991777208
12,0.9144758301622727,1.1617261634932623
13,0.8373479948324316,1.088359495004018
14,0.7632324967314216,1.001929051346249
15,0.6975540255799013,0.9235002199808756
16,0.6323894849594902,0.843501991695828
17,0.581250886706745,0.7942262490590414
18,0.5381668858668384,0.7362350821495056
19,0.49489671868436474,0.7045306099785699
20,0.46044335908749523,0.6504064367877113
