Epoch,Train Loss,Validation Loss
1,3.33359932198244,3.3503655857510037
2,3.151902444222394,3.1963229974110923
3,2.967476592344396,3.0435633924272327
4,2.771693419007694,2.933224598566691
5,2.60018192319309,2.810195207595825
6,2.40668681789847,2.6638997395833335
7,2.2490135080674114,2.531362692515055
8,2.1411316570113685,2.4915611479017468
9,1.981866650721606,2.3684657414754233
10,1.8620138203396517,2.256425725089179
11,1.705140867654015,2.1579859256744385
12,1.6083011977812822,2.0626016192966037
13,1.4913602786905624,1.9875506162643433
14,1.4576634799732882,1.9387505716747708
15,1.3909363992073958,1.854367521074083
16,1.280481029959286,1.8552942276000977
17,1.2662441099391264,1.8396271334754095
18,1.1898872659486883,1.7869703107410007
19,1.1325780030559092,1.7121073404947917
20,1.0858911363517536,1.6562774181365967
