Epoch,Train Loss,Validation Loss
1,3.3390549421310425,3.112665679719713
2,2.827863426769481,2.799789455201891
3,2.5150913035168365,2.5338413980272083
4,2.241573495023391,2.3732670413123236
5,2.0064014897626987,2.113767147064209
6,1.79922116503996,1.96657223171658
7,1.6165082700112288,1.8009130027559068
8,1.4624647480600022,1.6363009214401245
9,1.3287655220312231,1.543677356508043
10,1.2245743730488945,1.4709769090016682
11,1.1219866766649134,1.3443630933761597
12,1.0382405607139362,1.2560674879286025
13,0.9654399542247548,1.2004709243774414
14,0.9008410152267007,1.1467065744929843
15,0.852113672915627,1.0945735838678148
16,0.8002952652819016,1.0566882292429607
17,0.759265892645892,1.0253099070654974
18,0.7276400625705719,0.9880320827166239
19,0.6908202714779798,0.9394293891059028
20,0.6646889684831395,0.9261681238810221
