Epoch,Train Loss,Validation Loss
1,3.387186085476595,3.356662723753187
2,3.114283624817343,3.1480687459309897
3,2.902134292265948,2.980608198377821
4,2.719364271444433,2.786898957358466
5,2.479955883587108,2.6196621788872614
6,2.302150382715113,2.4394585026635065
7,2.1062480877427494,2.2774984306759305
8,1.914271635167739,2.1202118926578097
9,1.7993976508869844,2.0057009855906167
10,1.6277706693200504,1.9256746239132352
11,1.508465423303492,1.8324786159727309
12,1.4287264767815084,1.712433444129096
13,1.324579796370338,1.6616121133168538
14,1.2132674876381369,1.6022069056828816
15,1.1475801906164955,1.5191921260621812
16,1.0848421138875626,1.4872353474299114
17,1.0585956924101885,1.4164592027664185
18,0.9952042506021612,1.3464251160621643
19,0.9794919771306655,1.3405470450719197
20,0.9258023255011615,1.3122105797131856
