Epoch,Train Loss,Validation Loss
1,3.323021685375887,3.275620804892646
2,3.1424095420276417,3.177879730860392
3,3.0428219753153183,3.1060942543877497
4,2.9196793472065643,3.044246382183499
5,2.797811704523423,2.900806638929579
6,2.654789819436915,2.7737566894955106
7,2.5278274101369522,2.699221796459622
8,2.4198178684010223,2.6072854730818005
9,2.291790204889634,2.492678748236762
10,2.194556583376492,2.40571657816569
11,2.1117823825163,2.3528658284081354
12,2.055747968309066,2.245739605691698
13,1.9746676753549015,2.199724939134386
14,1.8930912403499378,2.136933830049303
15,1.8447919663260965,2.0863998995886908
16,1.7839726174578947,2.07298481464386
17,1.7235996828359716,2.0224538114335804
18,1.6660399752504684,2.00452713171641
19,1.659387304502375,1.966438399420844
20,1.5772049251724691,1.9427576462427776
