Epoch,Train Loss,Validation Loss
1,3.5224511208741562,2.7875465949376426
2,2.182863546454388,1.9886489510536194
3,1.4291436050249182,1.5180855989456177
4,0.9879025194955908,1.1416896680990856
5,0.7048638696255891,0.9728966454664866
6,0.5479551838791888,0.7773389716943105
7,0.43165229520072107,0.728249321381251
8,0.34192222421583923,0.6086338808139166
9,0.28465922047262604,0.547918289899826
10,0.24430362945017609,0.487035592397054
11,0.20362228705831195,0.4686940411726634
12,0.17345614536948825,0.42214598258336383
13,0.15334234192319537,0.3937083035707474
14,0.13474876287838686,0.39539553721745807
15,0.11895429764104926,0.3462510829170545
16,0.10258029563271481,0.3642566204071045
17,0.09330406266710033,0.3186357046167056
18,0.0846521344197833,0.3067716533939044
19,0.07639026544664217,0.29288043826818466
20,0.07120836720518443,0.28525371104478836
