Epoch,Train Loss,Validation Loss
1,3.7643456355385156,3.268323381741842
2,2.771552137706591,2.7592417001724243
3,2.1044389838757724,2.366778095563253
4,1.6511241612227068,2.1002104083697
5,1.3740063853885816,1.8737829724947612
6,1.1214568614959717,1.764759083588918
7,0.9500559309254522,1.6898682713508606
8,0.8648785067641217,1.5979939500490825
9,0.7152726974176324,1.5595498085021973
10,0.6518072796904523,1.557136098543803
11,0.5650889860547107,1.4076337218284607
12,0.5134553676066191,1.3650160531202953
13,0.5042344007803046,1.3277754386266072
14,0.39933204910029535,1.4065105815728505
15,0.4405278978140458,1.3607856929302216
16,0.3813355590986169,1.2893778681755066
17,0.3582642842894015,1.2709628442923229
18,0.3655336427947749,1.3297303318977356
19,0.30990632396677265,1.2845004697640736
20,0.3092105272023574,1.2324772675832112
